C689397,FR0087,6.6,50000,22062021 10233100,PT BANK OCBC NISP  TBK,PT BANK OCBC NISP  TBK,CR-IB-PT BANK OCBC NISP  TBK-00,NISPDEPO,null,OR,26274,26694462822,608584662
C689398,FR0087,6.6,100000,22062021 10233800,CITIBANK  N.A.,CITIBANK  N.A.,CR-IB-CITIBANK  N.A.-00,CITIDEPO,null,OR,52548,53388925644,1217169324
C689409,FR0087,6.6,600000,22062021 10241800,KC JPMORGAN CHASE BANK  N.A.,KC JPMORGAN CHASE BANK  N.A.,CR-IB-KC JPMORGAN CHASE BANK N.A.-00,CHASDEPO,null,OR,315287,320332537861,7302992781
C689411,FR0087,6.6,100000,22062021 10243700,PT. BANK NEGARA INDONESIA (PERSE,PT. BANK NEGARA INDONESIA (PERSE,CR-IB-PT. BANK NEGARA INDONESIA (PERSERO)  TBK-00,BNINDEPO,null,OR,52548,53388925644,1217169324
C689420,FR0087,6.6,50000,22062021 10251300,PT. BANK RAKYAT INDONESIA (PERSE,PT. BANK RAKYAT INDONESIA (PERSE,CR-IB-PT. BANK RAKYAT INDONESIA (PERSERO)  TBK-00,BRINDEPO,null,OR,26274,26694462822,608584662
C689452,FR0087,6.6,50000,22062021 10271400,PT. BANK CENTRAL ASIA  TBK,PT. BANK CENTRAL ASIA  TBK,CR-IB-PT. BANK CENTRAL ASIA TBK-BMAS,CENADEPO,null,OR,26274,26694462822,608584662
C689503,FR0087,6.6,10000,22062021 10293600,PT. TRIMEGAH SEKURITAS INDONESIA,PT. BANK MANDIRI (PERSERO)  TBK,CR-SC-BANK MANDIRI SUB REGISTRY - INVESTOR-trimegah,BMRIINVT-DEPO,null,OR,5255,5339095765,121721565
C689339,FR0087,6.5,5000,22062021 10180700,PT. MANDIRI SEKURITAS,PT. BANK MANDIRI (PERSERO)  TBK,CR-SC-BANK MANDIRI SUB REGISTRY - INVESTOR-Mandiri Sekuritas,BMRIINVT-DEPO,null,OR,5000,5115280000,115815000
C689164,FR0087,6.55,2000,22062021 10021600,PT. BANK MANDIRI (PERSERO)  TBK,PT. BANK MANDIRI (PERSERO)  TBK,CR-IS-BANK MANDIRI SUB REGISTRY - INVESTOR-JAMKRIDA JATIM,BMRIINVT-DEPO,null,OR,2000,2039044000,46326000
C689417,FR0087,6.55,3000,22062021 10250300,PT. BANK CENTRAL ASIA  TBK,PT. BANK CENTRAL ASIA  TBK,CR-PF-PT. BANK CENTRAL ASIA TBK-DP INDOMOBIL,CENADEPO,null,OR,3000,3058566000,69489000
